sentence,ingredients
剩下的只有熟白芝麻、切碎的韓式泡菜、鲜奶,"['熟白芝麻', '切碎的韓式泡菜', '鲜奶']"
能不能幫我看看可微波的碗、鮮奶、泡菜汁能煮什麼？,"['鮮奶', '泡菜汁']"
無鹽奶油、火腿片、切碎的韓式泡菜還能怎麼料理？,"['無鹽奶油', '火腿片', '切碎的韓式泡菜']"
我冰箱裡還有薑泥、牛奶,"['薑泥', '牛奶']"
白酒、蒜末、白米是我剩下的食材,"['白酒', '蒜末', '白米']"
家裡冰箱剩下水、韓國高湯用魚乾，該怎麼辦,"['水', '韓國高湯用魚乾']"
"我不想浪費塩、蔥花、番茄醬, 能推薦一下嗎？","['塩', '蔥花', '番茄醬']"
剩下的只有番茄、蕃茄醬、绞肉、白飯,"['番茄', '蕃茄醬', '绞肉', '白飯']"
幫我用涼拌小黃瓜、辣椒末或紅甜椒丁出個菜單,"['涼拌小黃瓜', '辣椒末或紅甜椒丁']"
"只剩下玉米醬、麵線, 有什麼建議？","['玉米醬', '麵線']"
今天晚餐我想用芹菜梗、高湯、檸檬汁、醬油來做點東西,"['芹菜梗', '高湯', '檸檬汁', '醬油']"
今天晚餐我想用青蔥、醬油、紅棗、蒜頭來做點東西,"['青蔥', '醬油', '紅棗', '蒜頭']"
我冰箱裡還有月桂葉、薄鹽干貝醬油、佛蒙特咖哩塊、牛頭牌原味高湯-雞肉風味,"['月桂葉', '薄鹽干貝醬油', '佛蒙特咖哩塊', '牛頭牌原味高湯-雞肉風味']"
我冰箱裡還有肉末、豬絞肉、青蔥、芥末籽醬,"['肉末', '豬絞肉', '青蔥', '芥末籽醬']"
"我不想浪費醬油、香油、油豆腐、芝麻油, 能推薦一下嗎？","['醬油', '香油', '油豆腐', '芝麻油']"
我冰箱裡還有砂糖、義大利香料、蒜、白胡椒,"['砂糖', '義大利香料', '蒜', '白胡椒']"
家裡冰箱剩下韓國魚板片、廚房紙巾、奶油，該怎麼辦,"['韓國魚板片', '廚房紙巾', '奶油']"
"只剩下檸檬汁、红萝卜、太白粉、乳玛琳, 有什麼建議？","['檸檬汁', '红萝卜', '太白粉', '乳玛琳']"
能不能幫我看看蛋、起司能煮什麼？,"['蛋', '起司']"
家裡冰箱剩下仿土雞腿、芹菜梗、雞粉，該怎麼辦,"['仿土雞腿', '芹菜梗', '雞粉']"
家裡冰箱剩下雞蛋、牛肋條，該怎麼辦,"['雞蛋', '牛肋條']"
我冰箱裡還有帶肉牛筋、蛋、韓國辣椒醬、青江菜,"['帶肉牛筋', '蛋', '韓國辣椒醬', '青江菜']"
"只剩下糖、花生、耐熱保鮮膜、鹽, 有什麼建議？","['糖', '花生', '耐熱保鮮膜', '鹽']"
今天晚餐我想用蒜末、起司來做點東西,"['蒜末', '起司']"
剩下的只有番茄醬、月桂葉、胡蘿蔔,"['番茄醬', '月桂葉', '胡蘿蔔']"
今天晚餐我想用可微波的碗、花椒、米酒來做點東西,"['可微波的碗', '花椒', '米酒']"
能不能幫我看看溫水、番茄糊、香菇能煮什麼？,"['溫水', '番茄糊', '香菇']"
幫我用豬絞肉、牛奶出個菜單,"['豬絞肉', '牛奶']"
今天晚餐我想用红萝卜、廚房紙巾、紅蘿蔔來做點東西,"['红萝卜', '廚房紙巾', '紅蘿蔔']"
白玉馬鈴薯、蒜末、油豆腐是我剩下的食材,"['白玉馬鈴薯', '蒜末', '油豆腐']"
今天晚餐我想用空心菜、香蕉、豬絞肉、地瓜來做點東西,"['空心菜', '香蕉', '豬絞肉', '地瓜']"
昆布柴魚高湯、洋蔥、韓國年糕條、鸿喜菇是我剩下的食材,"['昆布柴魚高湯', '洋蔥', '韓國年糕條', '鸿喜菇']"
幫我用鲜奶、米粉出個菜單,"['鲜奶', '米粉']"
我冰箱裡還有牛奶、月桂葉、薑片,"['牛奶', '月桂葉', '薑片']"
今天晚餐我想用涼拌小黃瓜、乾小干貝、昆布來做點東西,"['涼拌小黃瓜', '乾小干貝', '昆布']"
"只剩下去骨雞腿肉、花椒、鸿喜菇、高湯, 有什麼建議？","['去骨雞腿肉', '花椒', '鸿喜菇', '高湯']"
幫我用豬肉片、麻油出個菜單,"['豬肉片', '麻油']"
我冰箱裡還有乾香菇、溫水、Prego白酱、鮮味炒手,"['乾香菇', '溫水', 'Prego白酱', '鮮味炒手']"
剩下的只有培根、红萝卜,"['培根', '红萝卜']"
"我不想浪費义大利面、蔥.薑.蒜末、玉米粒, 能推薦一下嗎？","['义大利面', '蔥.薑.蒜末', '玉米粒']"
今天晚餐我想用花生、青蔥、白米來做點東西,"['花生', '青蔥', '白米']"
我冰箱裡還有薑片、花椒,"['薑片', '花椒']"
今天晚餐我想用奶油、香菇、李錦記舊庄特級蠔油來做點東西,"['奶油', '香菇', '李錦記舊庄特級蠔油']"
能不能幫我看看砂糖、太白粉能煮什麼？,"['砂糖', '太白粉']"
白胡椒、韓國辣椒粉、韓國辣椒醬、雞是我剩下的食材,"['白胡椒', '韓國辣椒粉', '韓國辣椒醬', '雞']"
牛頭牌原味高湯-雞肉風味、辣椒、塩是我剩下的食材,"['牛頭牌原味高湯-雞肉風味', '辣椒', '塩']"
"我不想浪費鸿喜菇、豬絞肉, 能推薦一下嗎？","['鸿喜菇', '豬絞肉']"
能不能幫我看看肉末、油豆腐、紹興酒、蔥花能煮什麼？,"['肉末', '油豆腐', '紹興酒', '蔥花']"
"我不想浪費泡菜汁、玉米醬、麵線、老薑片, 能推薦一下嗎？","['泡菜汁', '玉米醬', '麵線', '老薑片']"
今天晚餐我想用蘑菇、油蔥酥、胡椒粉來做點東西,"['蘑菇', '油蔥酥', '胡椒粉']"
"只剩下冷凍金針菇、韓國辣椒醬、芹菜梗、鬆餅粉, 有什麼建議？","['冷凍金針菇', '韓國辣椒醬', '芹菜梗', '鬆餅粉']"
我冰箱裡還有木耳、油、蜂蜜,"['木耳', '油', '蜂蜜']"
家裡冰箱剩下水、高麗菜、砂糖，該怎麼辦,"['水', '高麗菜', '砂糖']"
我冰箱裡還有大蒜、切碎的韓式泡菜,"['大蒜', '切碎的韓式泡菜']"
"我不想浪費花生、大白菜、蔥, 能推薦一下嗎？","['花生', '大白菜', '蔥']"
幫我用蔥結、耐熱保鮮膜出個菜單,"['蔥結', '耐熱保鮮膜']"
幫我用乾小干貝、太白粉出個菜單,"['乾小干貝', '太白粉']"
剩下的只有巧克力醬、薑片、空心菜,"['巧克力醬', '薑片', '空心菜']"
今天晚餐我想用蔥花、牛肋條、昆布柴魚高湯、大蒜來做點東西,"['蔥花', '牛肋條', '昆布柴魚高湯', '大蒜']"
"只剩下红萝卜、蜂蜜、紅酒, 有什麼建議？","['红萝卜', '蜂蜜', '紅酒']"
韓國高湯用魚乾、韓國辣醬是我剩下的食材,"['韓國高湯用魚乾', '韓國辣醬']"
今天晚餐我想用麵線、胡椒粉、水煮蛋或溏心蛋來做點東西,"['麵線', '胡椒粉', '水煮蛋或溏心蛋']"
家裡冰箱剩下番茄糊、味霖，該怎麼辦,"['番茄糊', '味霖']"
能不能幫我看看奶油、紅蘿蔔能煮什麼？,"['奶油', '紅蘿蔔']"
能不能幫我看看糖、甜不辣能煮什麼？,"['糖', '甜不辣']"
我冰箱裡還有豬里肌肉、蔥.薑.蒜末、蕃茄醬、白胡椒,"['豬里肌肉', '蔥.薑.蒜末', '蕃茄醬', '白胡椒']"
起士、香蕉、鹽巴、鮮奶是我剩下的食材,"['起士', '香蕉', '鹽巴', '鮮奶']"
我冰箱裡還有昆布柴魚高湯、雞、日本香菇精,"['昆布柴魚高湯', '雞', '日本香菇精']"
牛肋條、切碎的韓式泡菜、鹹蛋、香油還能怎麼料理？,"['牛肋條', '切碎的韓式泡菜', '鹹蛋', '香油']"
"只剩下鹹蛋、馬鈴薯, 有什麼建議？","['鹹蛋', '馬鈴薯']"
"我不想浪費去骨雞腿排、米粉、水煮蛋或溏心蛋、木耳, 能推薦一下嗎？","['去骨雞腿排', '米粉', '水煮蛋或溏心蛋', '木耳']"
芥末籽醬、豬里肌肉、蒜頭、韓國年糕條還能怎麼料理？,"['芥末籽醬', '豬里肌肉', '蒜頭', '韓國年糕條']"
紅棗、洋蔥還能怎麼料理？,"['紅棗', '洋蔥']"
家裡冰箱剩下冷凍金針菇、李錦記舊庄特級蠔油、太白粉，該怎麼辦,"['冷凍金針菇', '李錦記舊庄特級蠔油', '太白粉']"
"只剩下枸杞、蒜頭切末, 有什麼建議？","['枸杞', '蒜頭切末']"
米粉、冰糖、芹菜梗還能怎麼料理？,"['米粉', '冰糖', '芹菜梗']"
我冰箱裡還有華盛頓宇宙脆™蘋果、鬆餅粉、小磨坊-勁辣十三香、鮮味炒手,"['華盛頓宇宙脆™蘋果', '鬆餅粉', '小磨坊-勁辣十三香', '鮮味炒手']"
家裡冰箱剩下洋蔥、紹興酒，該怎麼辦,"['洋蔥', '紹興酒']"
能不能幫我看看洋蔥、胡椒粉能煮什麼？,"['洋蔥', '胡椒粉']"
今天晚餐我想用米粉、地瓜來做點東西,"['米粉', '地瓜']"
"我不想浪費鮮味炒手、紅棗、芹菜梗, 能推薦一下嗎？","['鮮味炒手', '紅棗', '芹菜梗']"
家裡冰箱剩下清酒or米酒、小磨坊-勁辣十三香，該怎麼辦,"['清酒or米酒', '小磨坊-勁辣十三香']"
巧克力醬、月桂葉、佛蒙特咖哩塊是我剩下的食材,"['巧克力醬', '月桂葉', '佛蒙特咖哩塊']"
家裡冰箱剩下味霖、蒜末、芹菜梗、鹽巴，該怎麼辦,"['味霖', '蒜末', '芹菜梗', '鹽巴']"
我冰箱裡還有馬鈴薯、五花肉,"['馬鈴薯', '五花肉']"
"只剩下清酒or米酒、鬆餅粉、白胡椒粉, 有什麼建議？","['清酒or米酒', '鬆餅粉', '白胡椒粉']"
"我不想浪費雞蛋、西芹、蕃茄醬、乳玛琳, 能推薦一下嗎？","['雞蛋', '西芹', '蕃茄醬', '乳玛琳']"
剩下的只有雞粉、日式醬油、香蕉,"['雞粉', '日式醬油', '香蕉']"
今天晚餐我想用薑泥、去骨雞腿排來做點東西,"['薑泥', '去骨雞腿排']"
能不能幫我看看高湯、麵粉、豬肉片、月桂葉能煮什麼？,"['高湯', '麵粉', '豬肉片', '月桂葉']"
我冰箱裡還有鹽巴、老薑片、白胡椒粉、蔥,"['鹽巴', '老薑片', '白胡椒粉', '蔥']"
能不能幫我看看白芝麻、白蘿蔔能煮什麼？,"['白芝麻', '白蘿蔔']"
剩下的只有去骨雞腿肉、華盛頓宇宙脆™蘋果,"['去骨雞腿肉', '華盛頓宇宙脆™蘋果']"
剩下的只有高麗菜、花椒、可微波的碗,"['高麗菜', '花椒', '可微波的碗']"
今天晚餐我想用麵粉、老薑片、玉米醬、牛肋條來做點東西,"['麵粉', '老薑片', '玉米醬', '牛肋條']"
蔥.薑.蒜末、老薑片、花生、蒜還能怎麼料理？,"['蔥.薑.蒜末', '老薑片', '花生', '蒜']"
幫我用绞肉、冰糖、青江菜、火腿片出個菜單,"['绞肉', '冰糖', '青江菜', '火腿片']"
能不能幫我看看洋蔥，切丁、義大利香料、绞肉、雞蛋能煮什麼？,"['洋蔥，切丁', '義大利香料', '绞肉', '雞蛋']"
幫我用起司、香菇、蕃茄醬出個菜單,"['起司', '香菇', '蕃茄醬']"
"我不想浪費蛋、紹興酒, 能推薦一下嗎？","['蛋', '紹興酒']"
"我不想浪費蒜頭切末、番茄, 能推薦一下嗎？","['蒜頭切末', '番茄']"
我冰箱裡還有馬鈴薯、韓國魚板片、红萝卜、白玉馬鈴薯,"['馬鈴薯', '韓國魚板片', '红萝卜', '白玉馬鈴薯']"
能不能幫我看看牛頭牌原味高湯-雞肉風味、馬鈴薯能煮什麼？,"['牛頭牌原味高湯-雞肉風味', '馬鈴薯']"
幫我用奶油、鹽巴出個菜單,"['奶油', '鹽巴']"
我冰箱裡還有牛肋條、雞蛋、蔥結、地瓜,"['牛肋條', '雞蛋', '蔥結', '地瓜']"
我冰箱裡還有麻油、米酒、順眼的盤子,"['麻油', '米酒', '順眼的盤子']"
"我不想浪費义大利面、地瓜, 能推薦一下嗎？","['义大利面', '地瓜']"
我冰箱裡還有洋蔥絲、豬肉片、米粉,"['洋蔥絲', '豬肉片', '米粉']"
順眼的盤子、可微波的碗、雞粉是我剩下的食材,"['順眼的盤子', '可微波的碗', '雞粉']"
剩下的只有番茄醬、砂糖、洋蔥絲、豬里肌肉,"['番茄醬', '砂糖', '洋蔥絲', '豬里肌肉']"
巧克力醬、义大利面、麵線是我剩下的食材,"['巧克力醬', '义大利面', '麵線']"
幫我用米粉、佛蒙特咖哩塊出個菜單,"['米粉', '佛蒙特咖哩塊']"
蜂蜜、去骨雞腿排是我剩下的食材,"['蜂蜜', '去骨雞腿排']"
能不能幫我看看玉米粒、西芹、糖.水能煮什麼？,"['玉米粒', '西芹', '糖.水']"
冰糖、白玉馬鈴薯是我剩下的食材,"['冰糖', '白玉馬鈴薯']"
能不能幫我看看黑胡椒粒、冰糖、地瓜能煮什麼？,"['黑胡椒粒', '冰糖', '地瓜']"
"我不想浪費黑胡椒粒、紅酒、蘑菇、檸檬汁, 能推薦一下嗎？","['黑胡椒粒', '紅酒', '蘑菇', '檸檬汁']"
"只剩下番茄糊、大蒜、蔥花, 有什麼建議？","['番茄糊', '大蒜', '蔥花']"
能不能幫我看看火鍋牛肉片、蛋、希臘式無糖優格、辣椒末或紅甜椒丁能煮什麼？,"['火鍋牛肉片', '蛋', '希臘式無糖優格', '辣椒末或紅甜椒丁']"
番茄醬、乾香菇、無鹽奶油是我剩下的食材,"['番茄醬', '乾香菇', '無鹽奶油']"
家裡冰箱剩下蔥.薑.蒜末、韓國辣椒粉，該怎麼辦,"['蔥.薑.蒜末', '韓國辣椒粉']"
幫我用韓國魚板片、馬鈴薯、鹽出個菜單,"['韓國魚板片', '馬鈴薯', '鹽']"
蒜头、馬鈴薯、甜不辣、玉米醬是我剩下的食材,"['蒜头', '馬鈴薯', '甜不辣', '玉米醬']"
剩下的只有冷凍金針菇、鬆餅粉,"['冷凍金針菇', '鬆餅粉']"
能不能幫我看看鹹蛋、芥末籽醬、香油能煮什麼？,"['鹹蛋', '芥末籽醬', '香油']"
米酒、西芹、白醋是我剩下的食材,"['米酒', '西芹', '白醋']"
幫我用青江菜、蔥.薑.蒜末、甜不辣出個菜單,"['青江菜', '蔥.薑.蒜末', '甜不辣']"
今天晚餐我想用玉米醬、香油來做點東西,"['玉米醬', '香油']"
剩下的只有太白粉、牛肋條、Prego白酱,"['太白粉', '牛肋條', 'Prego白酱']"
牛奶、蕃茄醬、蒜頭切末、豬肉片是我剩下的食材,"['牛奶', '蕃茄醬', '蒜頭切末', '豬肉片']"
"只剩下馬鈴薯、韓國魚板片、木耳、白芝麻, 有什麼建議？","['馬鈴薯', '韓國魚板片', '木耳', '白芝麻']"
蠔油、薑泥、枸杞還能怎麼料理？,"['蠔油', '薑泥', '枸杞']"
家裡冰箱剩下耐熱保鮮膜、月桂葉、茄子、红萝卜，該怎麼辦,"['耐熱保鮮膜', '月桂葉', '茄子', '红萝卜']"
家裡冰箱剩下米酒、大白菜、韓國辣椒粉、起司，該怎麼辦,"['米酒', '大白菜', '韓國辣椒粉', '起司']"
家裡冰箱剩下乾小干貝、薑片，該怎麼辦,"['乾小干貝', '薑片']"
家裡冰箱剩下切碎的韓式泡菜、水煮蛋或溏心蛋、培根、八角，該怎麼辦,"['切碎的韓式泡菜', '水煮蛋或溏心蛋', '培根', '八角']"
"只剩下豬絞肉、日本香菇精、麵線, 有什麼建議？","['豬絞肉', '日本香菇精', '麵線']"
"只剩下大白菜、蔥.薑.蒜末, 有什麼建議？","['大白菜', '蔥.薑.蒜末']"
"我不想浪費白胡椒、花生, 能推薦一下嗎？","['白胡椒', '花生']"
"只剩下清酒or米酒、米酒、白芝麻, 有什麼建議？","['清酒or米酒', '米酒', '白芝麻']"
"只剩下紹興酒、火腿片, 有什麼建議？","['紹興酒', '火腿片']"
玉米粒、韓國高湯用魚乾還能怎麼料理？,"['玉米粒', '韓國高湯用魚乾']"
幫我用大白菜、茄子出個菜單,"['大白菜', '茄子']"
幫我用白胡椒粉、醬油出個菜單,"['白胡椒粉', '醬油']"
今天晚餐我想用順眼的盤子、鹹蛋、蠔油來做點東西,"['順眼的盤子', '鹹蛋', '蠔油']"
能不能幫我看看巧克力醬、玉米粒、李錦記舊庄特級蠔油能煮什麼？,"['巧克力醬', '玉米粒', '李錦記舊庄特級蠔油']"
鹽巴、蔥結、豬絞肉是我剩下的食材,"['鹽巴', '蔥結', '豬絞肉']"
"只剩下蛋豆腐、花生, 有什麼建議？","['蛋豆腐', '花生']"
鬆餅粉、鹽、红萝卜、無鹽奶油還能怎麼料理？,"['鬆餅粉', '鹽', '红萝卜', '無鹽奶油']"
家裡冰箱剩下韓國魚板片、洋蔥絲，該怎麼辦,"['韓國魚板片', '洋蔥絲']"
能不能幫我看看鹹蛋、去骨無刺鱸魚片能煮什麼？,"['鹹蛋', '去骨無刺鱸魚片']"
洋蔥，切丁、雞蛋是我剩下的食材,"['洋蔥，切丁', '雞蛋']"
幫我用紅蘿蔔、香蕉、茄子出個菜單,"['紅蘿蔔', '香蕉', '茄子']"
"我不想浪費义大利面、冰糖、雞, 能推薦一下嗎？","['义大利面', '冰糖', '雞']"
"只剩下白酒、雞蛋、白芝麻、糖.水, 有什麼建議？","['白酒', '雞蛋', '白芝麻', '糖.水']"
剩下的只有胡椒粉、清酒or米酒、薑泥,"['胡椒粉', '清酒or米酒', '薑泥']"
馬鈴薯、韓國辣醬、辣椒、五花肉是我剩下的食材,"['馬鈴薯', '韓國辣醬', '辣椒', '五花肉']"
今天晚餐我想用紹興酒、鹽來做點東西,"['紹興酒', '鹽']"
能不能幫我看看老薑片、馬鈴薯、蔥花能煮什麼？,"['老薑片', '馬鈴薯', '蔥花']"
花生、地瓜還能怎麼料理？,"['花生', '地瓜']"
蘑菇、辣椒、蒜還能怎麼料理？,"['蘑菇', '辣椒', '蒜']"
幫我用義大利香料、醬油.素蠔油出個菜單,"['義大利香料', '醬油.素蠔油']"
月桂葉、熟白芝麻、番茄是我剩下的食材,"['月桂葉', '熟白芝麻', '番茄']"
"只剩下辣椒末或紅甜椒丁、蒜末、切碎的韓式泡菜, 有什麼建議？","['辣椒末或紅甜椒丁', '蒜末', '切碎的韓式泡菜']"
"只剩下李錦記蠔油、老薑片、芥末籽醬、麵線, 有什麼建議？","['李錦記蠔油', '老薑片', '芥末籽醬', '麵線']"
剩下的只有地瓜、青蔥,"['地瓜', '青蔥']"
"我不想浪費起士、耐熱保鮮膜、胡蘿蔔, 能推薦一下嗎？","['起士', '耐熱保鮮膜', '胡蘿蔔']"
剩下的只有肉末、蛋豆腐,"['肉末', '蛋豆腐']"
剩下的只有帶肉牛筋、蔥結、冰糖、蒜頭,"['帶肉牛筋', '蔥結', '冰糖', '蒜頭']"
蔥花、蔥結、辣椒切末是我剩下的食材,"['蔥花', '蔥結', '辣椒切末']"
剩下的只有白米、醬油.素蠔油,"['白米', '醬油.素蠔油']"
"我不想浪費砂糖、希臘式無糖優格, 能推薦一下嗎？","['砂糖', '希臘式無糖優格']"
"我不想浪費小磨坊-勁辣十三香、豬里肌肉, 能推薦一下嗎？","['小磨坊-勁辣十三香', '豬里肌肉']"
幫我用蒜头、义大利面、白米出個菜單,"['蒜头', '义大利面', '白米']"
今天晚餐我想用番茄糊、火腿片來做點東西,"['番茄糊', '火腿片']"
剩下的只有青江菜、绞肉、茄子、鹹蛋,"['青江菜', '绞肉', '茄子', '鹹蛋']"
白酒、玉米醬是我剩下的食材,"['白酒', '玉米醬']"
"只剩下培根、肉末、華盛頓宇宙脆™蘋果、油豆腐, 有什麼建議？","['培根', '肉末', '華盛頓宇宙脆™蘋果', '油豆腐']"
幫我用番茄糊、去骨無刺鱸魚片出個菜單,"['番茄糊', '去骨無刺鱸魚片']"
"我不想浪費砂糖、韓國高湯用魚乾、薑、昆布柴魚高湯, 能推薦一下嗎？","['砂糖', '韓國高湯用魚乾', '薑', '昆布柴魚高湯']"
木耳、番茄醬、红萝卜是我剩下的食材,"['木耳', '番茄醬', '红萝卜']"
剩下的只有冰糖、蒜头、塩,"['冰糖', '蒜头', '塩']"
能不能幫我看看泡菜汁、白芝麻、番茄醬能煮什麼？,"['泡菜汁', '白芝麻', '番茄醬']"
幫我用蘑菇、味霖出個菜單,"['蘑菇', '味霖']"
我冰箱裡還有起司、芝麻油,"['起司', '芝麻油']"
火鍋牛肉片、起司是我剩下的食材,"['火鍋牛肉片', '起司']"
我冰箱裡還有香菜、韓國辣醬、豬肉片、李錦記舊庄特級蠔油,"['香菜', '韓國辣醬', '豬肉片', '李錦記舊庄特級蠔油']"
能不能幫我看看肉末、鮮奶、可微波的碗能煮什麼？,"['肉末', '鮮奶', '可微波的碗']"
幫我用紅棗、蔥花、豬肉片、洋蔥丁出個菜單,"['紅棗', '蔥花', '豬肉片', '洋蔥丁']"
剩下的只有醬油.素蠔油、蒜头、雞粉、醬油,"['醬油.素蠔油', '蒜头', '雞粉', '醬油']"
醬油、蠔油、佛蒙特咖哩塊是我剩下的食材,"['醬油', '蠔油', '佛蒙特咖哩塊']"
我冰箱裡還有可微波的碗、日本香菇精、海苔絲、起司,"['可微波的碗', '日本香菇精', '海苔絲', '起司']"
今天晚餐我想用油豆腐、番茄來做點東西,"['油豆腐', '番茄']"
幫我用廚房紙巾、洋蔥，切丁出個菜單,"['廚房紙巾', '洋蔥，切丁']"
幫我用豬里肌肉、义大利面出個菜單,"['豬里肌肉', '义大利面']"
空心菜、清酒or米酒、义大利面、鲜奶還能怎麼料理？,"['空心菜', '清酒or米酒', '义大利面', '鲜奶']"
家裡冰箱剩下順眼的盤子、水，該怎麼辦,"['順眼的盤子', '水']"
幫我用日本香菇精、薑片、紅棗、蜂蜜出個菜單,"['日本香菇精', '薑片', '紅棗', '蜂蜜']"
家裡冰箱剩下白芝麻、麵線、鹽、蒜头，該怎麼辦,"['白芝麻', '麵線', '鹽', '蒜头']"
火腿片、麻油、蛋豆腐還能怎麼料理？,"['火腿片', '麻油', '蛋豆腐']"
绞肉、無鹽奶油、冰糖、枸杞是我剩下的食材,"['绞肉', '無鹽奶油', '冰糖', '枸杞']"
剩下的只有蔥花、韓國高湯用魚乾、蔥、火鍋牛肉片,"['蔥花', '韓國高湯用魚乾', '蔥', '火鍋牛肉片']"
"只剩下麵線、火鍋牛肉片, 有什麼建議？","['麵線', '火鍋牛肉片']"
今天晚餐我想用鹹蛋、雞來做點東西,"['鹹蛋', '雞']"
乾小干貝、無鹽奶油、香菜是我剩下的食材,"['乾小干貝', '無鹽奶油', '香菜']"
麻油、米酒、香菇、洋蔥絲是我剩下的食材,"['麻油', '米酒', '香菇', '洋蔥絲']"
幫我用木耳、熟白芝麻、日式醬油、蒜出個菜單,"['木耳', '熟白芝麻', '日式醬油', '蒜']"
"我不想浪費可微波的碗、大蒜、蛋、红萝卜, 能推薦一下嗎？","['可微波的碗', '大蒜', '蛋', '红萝卜']"
去骨雞腿排、豬絞肉、米粉是我剩下的食材,"['去骨雞腿排', '豬絞肉', '米粉']"
大白菜、蜂蜜、白飯還能怎麼料理？,"['大白菜', '蜂蜜', '白飯']"
"我不想浪費白醋、洋蔥, 能推薦一下嗎？","['白醋', '洋蔥']"
"我不想浪費花椒、切碎的韓式泡菜、豬里肌肉, 能推薦一下嗎？","['花椒', '切碎的韓式泡菜', '豬里肌肉']"
茄子、番茄醬是我剩下的食材,"['茄子', '番茄醬']"
家裡冰箱剩下Prego白酱、木耳、蒜頭切末、茄子，該怎麼辦,"['Prego白酱', '木耳', '蒜頭切末', '茄子']"
家裡冰箱剩下红萝卜、茄子，該怎麼辦,"['红萝卜', '茄子']"
"只剩下辣椒、紅酒, 有什麼建議？","['辣椒', '紅酒']"
幫我用花椒、乾小干貝出個菜單,"['花椒', '乾小干貝']"
